#--------------------------------------------------------------------------------
# Auto-generated by Migen (9a0be7a) & LiteX (e6f316d0) on 2022-01-07 04:20:19
#--------------------------------------------------------------------------------
csr_base,gpu,0xf0000000,,
csr_base,ctrl,0xf0000800,,
csr_base,ethphy,0xf0001000,,
csr_base,identifier_mem,0xf0001800,,
csr_base,sdram,0xf0002000,,
csr_base,timer0,0xf0002800,,
csr_base,uart,0xf0003000,,
csr_register,gpu_x,0xf0000000,1,rw
csr_register,gpu_y,0xf0000004,1,rw
csr_register,gpu_frame,0xf0000008,1,ro
csr_register,ctrl_reset,0xf0000800,1,rw
csr_register,ctrl_scratch,0xf0000804,1,rw
csr_register,ctrl_bus_errors,0xf0000808,1,ro
csr_register,ethphy_crg_reset,0xf0001000,1,rw
csr_register,ethphy_rx_inband_status,0xf0001004,1,ro
csr_register,ethphy_mdio_w,0xf0001008,1,rw
csr_register,ethphy_mdio_r,0xf000100c,1,ro
csr_register,sdram_dfii_control,0xf0002000,1,rw
csr_register,sdram_dfii_pi0_command,0xf0002004,1,rw
csr_register,sdram_dfii_pi0_command_issue,0xf0002008,1,rw
csr_register,sdram_dfii_pi0_address,0xf000200c,1,rw
csr_register,sdram_dfii_pi0_baddress,0xf0002010,1,rw
csr_register,sdram_dfii_pi0_wrdata,0xf0002014,1,rw
csr_register,sdram_dfii_pi0_rddata,0xf0002018,1,ro
csr_register,timer0_load,0xf0002800,1,rw
csr_register,timer0_reload,0xf0002804,1,rw
csr_register,timer0_en,0xf0002808,1,rw
csr_register,timer0_update_value,0xf000280c,1,rw
csr_register,timer0_value,0xf0002810,1,ro
csr_register,timer0_ev_status,0xf0002814,1,ro
csr_register,timer0_ev_pending,0xf0002818,1,rw
csr_register,timer0_ev_enable,0xf000281c,1,rw
csr_register,uart_rxtx,0xf0003000,1,rw
csr_register,uart_txfull,0xf0003004,1,ro
csr_register,uart_rxempty,0xf0003008,1,ro
csr_register,uart_ev_status,0xf000300c,1,ro
csr_register,uart_ev_pending,0xf0003010,1,rw
csr_register,uart_ev_enable,0xf0003014,1,rw
csr_register,uart_txempty,0xf0003018,1,ro
csr_register,uart_rxfull,0xf000301c,1,ro
constant,config_clock_frequency,60000000,,
constant,config_cpu_type_none,None,,
constant,config_cpu_variant_standard,None,,
constant,config_cpu_human_name,unknown,,
constant,config_with_build_time,None,,
constant,uart_polling,None,,
constant,config_l2_size,8192,,
constant,config_csr_data_width,32,,
constant,config_csr_alignment,32,,
constant,config_bus_standard,wishbone,,
constant,config_bus_data_width,32,,
constant,config_bus_address_width,32,,
memory_region,sram,0x01000000,8192,cached
memory_region,main_ram,0x40000000,4194304,cached
memory_region,extmem,0x00000000,524288,cached
memory_region,wbram,0x00080000,2048,cached
memory_region,csr,0xf0000000,65536,io
